Ticker,"IPO 
Trading 
Date",Lockup 1,Lockup 2,Lockup 3
BAND,11/10/2017,5/9/2018,,
PPDF,,,,
SOGO,11/9/2017,5/8/2018,,
APLS,,1/1/2001,,
FEDU,11/8/2017,5/7/2018,,
MCB,11/8/2017,5/7/2018,,
IFRX,11/8/2017,5/7/2018,,
CBTX,11/8/2017,5/7/2018,,
MRBK,11/7/2017,,,
AQ,11/3/2017,5/2/2018,,
ALNA,11/2/2017,5/1/2018,,
AQUA,11/2/2017,5/1/2018,,
FNKO,11/2/2017,5/1/2018,,
SPRO,11/2/2017,5/1/2018,,
ALTR,11/1/2017,4/30/2018,,
LOMA,11/1/2017,4/30/2018,,
FSCT,10/27/2017,4/25/2018,,
MBIN,10/27/2017,4/25/2018,,
NEXA,10/27/2017,4/25/2018,,
EYE,10/26/2017,4/24/2018,,
BPMP,10/26/2017,4/24/2018,,
REDU,10/20/2017,4/18/2018,,
SE,10/20/2017,4/18/2018,,
MDB,10/19/2017,4/17/2018,,
QD,10/18/2017,4/16/2018,,
OPTN,10/13/2017,4/11/2018,,
CARG,10/12/2017,4/10/2018,,
HAIR,,,,
KIDS,10/12/2017,4/10/2018,,
SWCH,10/6/2017,4/4/2018,,
RYTM,10/5/2017,4/3/2018,,
PQG,9/29/2017,3/28/2018,,
NCNA,9/28/2017,3/27/2018,,
NITE,9/28/2017,3/27/2018,,
DCPH,9/28/2017,3/27/2018,,
ROKU,9/28/2017,3/27/2018,,
RYB,9/27/2017,3/26/2018,,
SECO,9/22/2017,3/21/2018,,
ZLAB,9/20/2017,3/19/2018,,
OMP,9/21/2017,3/20/2018,,
BSTI,,,,
CELC,9/20/2017,3/19/2018,,
KRYS,9/20/2017,3/19/2018,,
DESP,9/20/2017,3/19/2018,,
TRMT,9/14/2017,3/13/2018,,
RNGR,8/11/2017,2/7/2018,,
YOGA,8/11/2017,2/7/2018,,
VNTR,8/3/2017,1/30/2018,,
CMTA,8/2/2017,1/29/2018,,
RDFN,7/28/2017,1/24/2018,,
SNNA,,,,
RBB,7/26/2017,1/22/2018,,
PETQ,7/21/2017,1/17/2018,,
KALA,7/20/2017,1/16/2018,,
CLXT,7/20/2017,1/16/2018,,
TRTX,7/20/2017,7/20/2018,  1/16/2018,
AKCA,7/14/2017,1/10/2018,,
BY,6/30/2017,12/27/2017,,
TNTR,,,,
ALRN,6/29/2017,12/26/2017,,
APRN,6/29/2017,12/26/2017, 10/27/2017,
DOVA,6/29/2017,12/26/2017,,
MRSN,6/28/2017,12/25/2017,,
ATXI,6/27/2017,12/24/2017,,
ESQ,6/27/2017,12/24/2017,,
GPMT,6/23/2017,12/20/2017, 10/21/2017,
SAFE,6/22/2017,12/19/2017,,
ATUS,6/22/2017,12/19/2017,,
CGBD,6/14/2017,6/14/2018, 12/11/2017,
ATNX,6/14/2017,12/11/2017,,
PLYM,,,,
SSTI,6/7/2017,12/4/2017,,
APPN,5/25/2017,11/21/2017,,
WOW,5/25/2017,11/21/2017,,
SGH,5/24/2017,11/20/2017,,
BEDU,5/18/2017,11/14/2017,,
GTHX,5/17/2017,11/13/2017,,
ASV,5/12/2017,11/8/2017,,
SOI,5/12/2017,11/8/2017,,
GDI,,,,
